tarih,toplam_depolama_m3,aktif_su_m3,toplam_doluluk_pct,aktif_doluluk_pct,sehre_verilen_m3_gun,barajlara_gelen_m3_gun,camlidere_m3,kurtbogazi_m3,egerekkaya_m3,akyar_m3,kesikkopru_m3,palas_m3,cubuk1_m3,cubuk2_m3,ivedik_m3,camlidere_pct,kurtbogazi_pct,egerekkaya_pct,akyar_pct,kesikkopru_pct,palas_pct,cubuk1_pct,cubuk2_pct,ivedik_pct,gecen_yil_aktif_su_m3,gecen_yil_tarihi,kaynak_url,cekme_zamani
2026-08-24,,,20.82,35.3,,,420065000.0,65021000.0,30336000.0,,95000000.0,,,12594000.0,,37.9,69.58,57.84,,100.0,,,54.85,,,,https://www.aski.gov.tr/TR/Baraj.aspx,2026-08-24T18:21:48Z
2026-08-25,,,20.82,35.3,,,420065000.0,65021000.0,30336000.0,,95000000.0,,,12594000.0,,37.9,69.58,57.84,,100.0,,,54.85,,,,https://www.aski.gov.tr/TR/Baraj.aspx,2026-08-25T04:33:43Z
2026-08-26,,,20.71,35.17,,,419067000.0,64834000.0,30151000.0,,95000000.0,,,12558000.0,,37.81,69.38,57.49,,100.0,,,54.69,,,,https://www.aski.gov.tr/TR/Baraj.aspx,2026-08-26T04:34:26Z
2026-08-27,,,20.52,34.92,,,1108276000.0,93452000.0,52445000.0,,95000000.0,,,,,37.63,68.92,56.82,,100.0,,,,,,,https://www.aski.gov.tr/TR/Baraj.aspx,2026-08-27T14:55:57Z
2026-08-28,,,20.42,34.78,,,1108276000.0,93452000.0,52445000.0,,95000000.0,,,,,37.53,68.65,56.47,,100.0,,,,,,,https://www.aski.gov.tr/TR/Baraj.aspx,2026-08-28T15:51:17Z
2026-08-29,,,20.32,34.65,,,414945000.0,63926000.0,29446000.0,,95000000.0,,,12504000.0,,37.44,68.41,56.15,,100.0,,,54.46,,,,https://www.aski.gov.tr/TR/Baraj.aspx,2026-08-29T10:40:13Z
2026-08-30,,,20.21,34.53,,,413969000.0,63693000.0,29284000.0,,95000000.0,,,12486000.0,,37.35,68.16,55.84,,100.0,,,54.38,,,,https://www.aski.gov.tr/TR/Baraj.aspx,2026-08-30T09:40:25Z
2026-08-31,,,20.12,34.4,,,1108276000.0,93452000.0,52445000.0,,95000000.0,,,,,37.26,67.91,55.51,,100.0,,,,,,,https://www.aski.gov.tr/TR/Baraj.aspx,2026-08-31T10:23:19Z
2026-09-01,,,20.03,34.27,,,411921000.0,63207000.0,28930000.0,,95000000.0,,,12459000.0,,37.17,67.64,55.16,,100.0,,,54.26,,,,https://www.aski.gov.tr/TR/Baraj.aspx,2026-09-01T09:06:02Z
2026-09-02,,,19.93,34.15,,,410900000.0,62951000.0,28751000.0,,95000000.0,,,12459000.0,,37.08,67.36,54.82,,100.0,,,54.26,,,,https://www.aski.gov.tr/TR/Baraj.aspx,2026-09-02T08:19:26Z
2026-09-03,,,19.85,34.02,,,409852000.0,62704000.0,28572000.0,,95000000.0,,,12450000.0,,36.98,67.1,54.48,,100.0,,,54.22,,,,https://www.aski.gov.tr/TR/Baraj.aspx,2026-09-03T08:29:07Z
2026-09-04,,,19.76,33.9,,,408804000.0,62479000.0,28395000.0,,95000000.0,,,12432000.0,,36.89,66.86,54.14,,100.0,,,54.14,,,,https://www.aski.gov.tr/TR/Baraj.aspx,2026-09-04T08:24:36Z
2026-09-05,,,19.66,33.77,,,407759000.0,62249000.0,28230000.0,,95000000.0,,,12415000.0,,36.79,66.61,53.83,,100.0,,,54.07,,,,https://www.aski.gov.tr/TR/Baraj.aspx,2026-09-05T08:00:05Z
2026-09-06,,,19.57,33.65,,,406733000.0,62048000.0,28054000.0,,95000000.0,,,12406000.0,,36.7,66.4,53.49,,100.0,,,54.03,,,,https://www.aski.gov.tr/TR/Baraj.aspx,2026-09-06T08:18:02Z
2026-09-07,,,19.49,33.53,,,405712000.0,61848000.0,27890000.0,,95000000.0,,,12388000.0,,36.61,66.18,53.18,,100.0,,,53.95,,,,https://www.aski.gov.tr/TR/Baraj.aspx,2026-09-07T08:50:45Z
2026-09-08,,,19.41,33.41,,,1108276000.0,93452000.0,52445000.0,,95000000.0,,,,,36.52,65.98,52.87,,100.0,,,,,,,https://www.aski.gov.tr/TR/Baraj.aspx,2026-09-08T08:30:36Z
2026-09-09,,,19.33,33.28,,,1108276000.0,93452000.0,52445000.0,,95000000.0,,,,,36.43,65.79,52.55,,100.0,,,,,,,https://www.aski.gov.tr/TR/Baraj.aspx,2026-09-09T08:33:25Z
2026-09-10,,,19.25,33.16,,,1108276000.0,93452000.0,52445000.0,,95000000.0,,,,,36.34,65.57,52.21,,100.0,,,,,,,https://www.aski.gov.tr/TR/Baraj.aspx,2026-09-10T08:35:21Z
2026-09-11,,,19.17,33.03,,,1108276000.0,93452000.0,52445000.0,,95000000.0,,,,,36.25,65.36,51.9,,100.0,,,,,,,https://www.aski.gov.tr/TR/Baraj.aspx,2026-09-11T08:29:49Z
2026-09-12,,,19.09,32.9,,,400699000.0,60911000.0,27058000.0,,95000000.0,,,12299000.0,,36.16,65.18,51.59,,100.0,,,53.56,,,,https://www.aski.gov.tr/TR/Baraj.aspx,2026-09-12T08:18:11Z
2026-09-13,,,19.0,32.78,,,399678000.0,60741000.0,26898000.0,,95000000.0,,,12281000.0,,36.06,65.0,51.29,,100.0,,,53.49,,,,https://www.aski.gov.tr/TR/Baraj.aspx,2026-09-13T08:42:45Z
2026-09-14,,,18.96,32.65,,,1108276000.0,93452000.0,52445000.0,,95000000.0,,,,,35.97,64.76,51.01,,100.0,,,,,,,https://www.aski.gov.tr/TR/Baraj.aspx,2026-09-14T09:29:13Z
2026-09-15,,,18.87,32.54,,,397640000.0,60318000.0,26592000.0,,95000000.0,,,12210000.0,,35.88,64.54,50.7,,100.0,,,53.18,,,,https://www.aski.gov.tr/TR/Baraj.aspx,2026-09-15T09:08:17Z
2026-09-16,,,18.79,32.43,,,396635000.0,60122000.0,26434000.0,,95000000.0,,,12158000.0,,35.79,64.33,50.4,,100.0,,,52.95,,,,https://www.aski.gov.tr/TR/Baraj.aspx,2026-09-16T09:00:49Z
